title,link,date,content
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/samolet-boeing-polnostyu-sgorel-posle-avariynoy-posadki-i-popal-na-video/,2024-11-11 17:34:30.930263,"Грузовой самолет Boeing 737 вспыхнул после аварийной посадки в аэропорту Сан-Паулу, Бразилия, и попал на видео. Подробности сообщает портал The Aviation Herald.Лайнер компании Total Linhas Aereas выполнял рейс из города Витория 9 ноября. Когда воздушное судно уже приступило к снижению, экипаж сообщил о пожаре в грузовом отсеке. Отмечается, что примерно за пять минут до посадки самолет потерял связь с диспетчерами, однако пилоты смогли успешно посадить его и эвакуироваться по тросу через окна кабины.Вскоре лайнер был охвачен огнем. Аварийно-спасательные службы быстро прибыли на место происшествия и приступили к тушению, однако борт практически полностью сгорел.Местные авиационные власти начали расследование причин произошедшего. О пострадавших в результате пожара не сообщалось.Ранее в России пассажирский самолет столкнулся с зайцем в аэропорту. Дикий зверь выбежал на взлетно-посадочную полосу во время отправления лайнера."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/boets-aydara-rasskazal-o-posledstviyah-podryva-damby-kurahovskogo-vodohranilischa/,2024-11-11 17:34:30.999631,"После подрыва дамбы Кураховского водохранилища подтоплены села к западу от Курахово. Об этом сообщил боец батальона «Айдар» (признан в России террористической организацией и запрещен) Вооруженных сил Украины (ВСУ) Станислав Бунятов с позывным Осман в своем Telegram-канале.«Был подтоплен ряд деревень в направлении Богатыря (село в Великоновоселковском районе к западу от Курахово — прим. «Ленты.ру»)», — заявил украинский солдат.Бунятов рассказал о последствиях подрыва дамбы Кураховского водохранилища и обвинил в инциденте Россию. По его словам, дороги остаются пригодными для использования, однако перемещение бронетехники по грунтовым дорогам вокруг населенных пунктов ограничено.Днем 11 ноября появились сообщения о подрыве ВСУ Терновской дамбы Кураховского водохранилища. После взрыва вода начала затапливать близлежащие населенные пункты."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/vk-i-rosatom-proveli-nauchno-populyarnyy-festival-vnauke-2-0/,2024-11-11 17:34:31.076441,"VK при поддержке госкорпорации «Росатом» провели в Москве открытый научно-популярный фестиваль «ВНауке 2.0». Мероприятие прошло 9 ноября на ВДНХ, о чем стало известно «Ленте.ру» из поступившего в ее распоряжение пресс-релиза компании.Фестиваль состоялся в музее «АТОМ», в нем приняли участие более 10 тысяч человек. Основной аудиторией мероприятия стали школьники, дети и их родители, заинтересовавшиеся научными экспериментами, космическим туризмом и изучением технологий искусственного интеллекта. Музей поделили на три тематических пространства: «Лабораторию знаний», «Лабораторию будущего» и «Лабораторию жизни».В первом пространстве прошли открытые дискуссии с учеными, которые поделились новейшими разработками в космической сфере. В качестве спикера выступил замдиректора департамента перспективных программ и проекта «СФЕРА» госкорпорации «Роскосмос» Игорь Пшеничников.В «Лаборатории будущего» россиянам продемонстрировали последние разработки в области робототехники, а спикеры поделились научными теориями, чей потенциал пока не успели раскрыть для широкой общественности. Научный сотрудник Российского квантового центра Дарья Сокол на простых примерах объяснила суть квантовой физики и ее влияние на повседневную жизнь.В последнем творческом пространстве посетители фестиваля погрузились в мир природы и приняли участие в мастер-классах по фитнесу и йоге. Автор блога «Аллергология для чайников» Ольга Жоголева поделилась с участниками мероприятия особыми техниками, которые помогают черпать из природных явлений и материалов энергию.Первый фестиваль «ВНауке» состоялся в 2023 году. Тогда его посетили около 800 человек, среди которых были ученые, блогеры и эксперты в сфере естественных наук.Ранее в Москве состоялся фестиваль WOOF в поддержку животных из приютов. Он прошел 3 и 4 ноября на Хлебозаводе №9."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/na-zapade-hotyat-ubedit-ssha-razreshit-vsu-bit-raketami-storm-shadow-vglub-rossii-kak-mozhet-otvetit-moskva/,2024-11-11 17:34:31.302745,"На Западе хотят убедить США разрешить Вооруженным силам Украины (ВСУ) бить ракетами Storm Shadow вглубь территории России. О том, как может ответить Москва, рассказал пресс-секретарь президента России Дмитрий Песков.«Это лишний раз демонстрирует, что европейские руководители (...) продолжают добиваться стратегического поражения нашей страны, Российской Федерации. Мы же в свою очередь продолжаем специальную военную операцию до достижения всех поставленных целей», — сказал Песков.При этом представитель Кремля подчеркнул, что никакая отправка каких-либо новых типов вооружения Киеву не позволит ВСУ переломить ситуацию на фронте в свою пользу. Россия продолжит боевые действия в ответ на удары ВСУ, добавил он.Фото: Вячеслав Прокофьев / РИА НовостиРанее сообщалось, что Макрон и Стармер могут добиться разрешения на удары ВСУ вглубь РоссииПоявилась информация, что французский президент Эммануэль Макрон и британский премьер-министр Кир Стармер могут попытаться снять запрет на удары ВСУ ракетами Storm Shadow вглубь России. В этом западные политики намерены убедить главу США Джо Байдена до завершения его президентского срока.«Ожидается, что Кир Стармер и Эммануэль Макрон подготовят последнюю попытку помешать планам Дональда Трампа по уменьшению американской поддержки Украины», — указали авторы Telegraph.Неназванные источники сообщили изданию, что в Лондоне планируют максимально эффективно использовать оставшееся до истечения срока Байдена время и надеются, что перед уходом он захочет превратить снятие запрета на удары в часть своего внешнеполитического наследия. Однако план Стармера может рассматриваться Дональдом Трампом как попытка навредить внешней политике США, предположили журналисты.Фото: Benoit Tessier / ReutersПесков не исключил эскалации в зоне СВОКак отметил Песков, слова европейских лидеров демонстрируют, что они продолжают свою линию. В то же время отметил, что исключать эскалации в зоне специальной военной операции (СВО) нельзя. Кроме того, по его словам, никакие виды вооружений не способны будут изменить динамику боевых действий на Украине, а динамика в проведении спецоперации военнослужащим хорошо понятна.Как сообщал пресс-секретарь президента России, цели СВО остаются прежними. К тому же Путин ни разу не говорил о смене вектора спецоперации, а наоборот, неоднократно повторял, что цели остаются прежними.«Все это касается интересов безопасности нашей страны, интересов безопасности русских людей, проживающих там. Поэтому ни о каких изменениях здесь речи не шло», — сказал Песков.Материалы по теме:«Украина — это не его война»Как Дональд Трамп смог победить на выборах президента США и что это означает для России?6 ноября 2024Команда Трампа готовит план завершения конфликта на Украине.Как Байден и его министры могут помешать новому президенту?7 ноября 2024Трамп рассказал Путину о желании скорейшего разрешения конфликта на Украине. Какие шаги предпринимает Запад?СегодняВ России оценили возможность Трампа устроить переговоры Москвы и Киева«Это искусственная подача материала. Во-первых, слово ""посадить"" (речь шла о фразе ""посадить за стол переговоров"" — прим. «Ленты.ру») в русской этимологии имеет разные значения. Во-вторых, ничего под команду Россия никогда не делает», — заявил председатель комитета Совета Федерации по международным делам Григорий Карасин.Россия внимательно будет изучать подходы новой администрации президента США по украинской теме, а после возможно станет готова обсудить дальнейшее развитие и диалог, отметил политик. Но, по его мнению, сразу сесть за стол переговоров не получится, если только администрация не предпримет «какие-то колоссальные усилия в плане разработки собственной позиции и до этого обсудит ее с нами»."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/15-letnyuyu-rossiyskuyu-shkolnitsu-zhestoko-izbili-za-neprivetlivyy-vzglyad/,2024-11-11 17:34:31.767366,"В Тюмени девочки-подростки жестоко избили 15-летнюю школьницу из-за неприветливого взгляда. Действия несовершеннолетних россиянок попали на видео, соответствующие кадры опубликовал Telegram-канал Ural Mash.На представленном видеоролике видно, как ученицы грубо разговаривают с девочкой, которая сидит на скамейке. Одна из школьниц набрасывается с кулаками на оппонентку. Та пытается ей противостоять, вместе они оказываются на асфальте.Как пишет Ural Mash, мать пострадавшей узнала об инциденте спустя пару дней, когда видео с издевательствами распространилось по чатам. Россиянка отметила, что в школе провели собрание с инспектором по делам несовершеннолетних, однако директор ограничилась лишь предупреждением. Никто перед девочкой не извинился.Родители ученицы подали заявление в полицию.Ранее сообщалось, что в Челябинске девочки-подростки избили электрошокером 12-летнюю сверстницу и поставили ее на колени.ЖЗЛ"
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-kremle-vyskazalis-o-novyh-teraktah-po-analogii-s-podryvom-severnyh-potokov/,2024-11-11 17:34:31.828765,"Западные страны, в частности, США и Великобритания, могут устроить новые теракты по аналогии с подрывом газопроводов «Северный поток». Об этом заявил помощник президента России и председатель Морской коллегии Николай Патрушев в интервью «Коммерсантъ».«По нашим данным, американцы и англичане рассматривают взрывы на ""Северных потоках"" как один из множества методов для продвижения своих экономических интересов. Под их удар могут попасть новые объекты инфраструктуры, например, морские оптоволоконные кабели, которые обеспечивают связь во всем мире», — отметил представитель Кремля.По мнению Патрушева, подобные действия являются частью плана Запада «по созданию хаоса энергетического рынка», так как гегемония Вашингтона и его союзников «стала нестабильной».7 октября директор Службы внешней разведки (СВР) России Сергей Нарышкин заявил, что разведывательное ведомство уверено в прямой причастности США и Великобритании к подрыву «Северных потоков». По информации СВР, в организации, подготовке и реализации теракта на газопроводах были задействованы профессиональные диверсанты из англосаксонских спецслужб."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/eks-sovetnik-kuchmy-predpolozhil-datu-nachala-peregovorov-rossii-i-ukrainy/,2024-11-11 17:34:31.958267,"Бывший советник Леонида Кучмы Олег Соскин заявил, что 21 января должны стать датой начала переговоров России и Украины. Об этом он рассказал на своем Youtube-канале.По предположению Соскина, президент Украины Владимир Зеленский может уйти в отставку во второй половине декабря, после чего в январе произойдет инаугурация нового президента страны.«21 января. (...) В этот день они должны сесть уже, представитель Украины и России», — заявил экс-советник.Ранее Соскин заявил, что Зеленский должен быть отправлен в отставку за отказ от предложенного премьер-министром Венгрии Виктором Орбаном плана по прекращению огня. Он добавил, что украинский президент был обязан посоветоваться с украинским народом и законодательной властью, а не принимать подобное решение в одиночку."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/bayden-poprosit-trampa-prodolzhit-pomosch-ukraine/,2024-11-11 17:34:32.072032,"Действующий американский лидер Джо Байден попросит избранного президента США Дональда Трампа продолжить оказывать военную помощь Украине во время их встречи в Белом доме. Об этом сообщает The Guardian со ссылкой на источники.«Байден пригласил Трампа на встречу в Овальном кабинете в среду 13 ноября, чтобы обсудить детали перехода власти. Ожидается, что он обсудит с республиканцем, почему США не должны бросать Украину и продолжать ее финансировать», — передает издание.Ранее газета Huffington Post (HuffPost) со ссылкой на спикера Палаты представителей Майка Джонсона сообщила, что республиканцы, предварительно одержавшие победу на выборах в обеих палатах Конгресса США, не будут в скором времени принимать решения о помощи Украине и рассматривать пакеты по данной теме."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-ssha-svyazali-glavnyy-strah-sotrudnikov-odnogo-vedomstva-s-trampom/,2024-11-11 17:34:32.139642,"Сотрудники Минюста США опасаются мести избранного президента Дональда Трампа из-за многочисленных судебных тяжб против него. Об этом со ссылкой на источник в ведомстве сообщает журнал Politico.«Страхи заключаются в том, что (...) руководство и сотрудники либо уйдут, либо их выгонят», — поделился собеседник издания.Материалы по теме:Токсичный Дональд.Почему поддержка Трампа повредила республиканцам на выборах и как это изменит американскую политику24 ноября 2022Трам-парам-пам.Бывший президент США снова в центре скандала. Как обыски в поместье Трампа взбудоражили Америку23 августа 2022Как указала Politico судебный адвокат управления гражданских прав Минюста США Стейси Янг, в ведомстве переживают, что старых сотрудников могут заменить на «ангажированных приверженцев» Трампа.Ранее издание Business Insider предположило, что Трамп после переизбрания сможет использовать полномочия президента США, чтобы «помиловать себя» и избежать уголовного преследования."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/narastayuschuyu-zharu-v-rossii-ob-yasnili/,2024-11-11 17:34:32.198371,"Глобальное потепление в России наступает быстро из-за близости страны к Приполярью. Об этом в разговоре с радиостанцией «Говорит Москва» заявил ведущий научный сотрудник Пущинского научного центра биологических исследований РАН, специалист по глобальным экологическим катастрофам Алексей Карнаухов.В Приполярье температура растет быстрее, чем на экваторе, объяснил специалист. Таким образом и в России теплеет быстрее — это северная страна. Климатолог также дополнил, что процесс глобального потепления на планете происходит таким образом, что температура на Земле понемногу выравнивается.Он выразил мнение, что Россия может улучшить свое «международное положение» за счет помощи в решении мировых экологических проблем, поскольку страна имеет для вопроса экологии ключевое значение.Ранее стало известно, что 39 процентов жителей Франции оказались готовы переехать из-за изменений климата — чтобы не сталкиваться со штормами или лесными пожарами. Отправиться в более холодный регион или страну готовы 28 процентов французов, свидетельствует исследование Европейского инвестиционного банка (ЕИБ)."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-rossii-obrushilis-vydachi-odnogo-vida-ipoteki/,2024-11-11 17:34:32.270860,"В 2024 году в России обрушились выдачи «Промышленной ипотеки» — бизнес стал в четыре раза реже, чем годом ранее, брать льготные кредиты на расширение производственных площадей. Об этом сообщили в Минпромторге, пишут «Известия».По данным ведомства, в текущем году было выдано всего 205 таких кредитов — на 75,4 процента меньше, чем в 2023-м. Падение спроса на промышленную ипотеку эксперты связывают с ужесточением условий выдачи. С апреля 2024 года такие займы доступны предприятиям малого и среднего бизнеса с выручкой менее 2 миллиардов рублей, а также малым технологическим компаниям с выручкой до 4 миллиардов рублей.Материалы по теме:Зеркало Дракулы, призраки и подвал масонов.Где находятся самые мистические дома России и чем они знамениты?31 октября 2024«Раковина разбита, кругом грязь, клопы»С чем сталкиваются россияне сдавая жилье и сколько на этом зарабатывают?9 ноября 2024Изменилась и ставка — ранее она была на уровне 3 или 5 процентов, а теперь стала плавающей. То есть процент по кредиту увеличивается на размер разницы между ключевой ставкой и 10 процентов, а пересчет ставки производится на дату выплаты процентов по ипотечному договору. Сейчас это 14 процентов для технологических компаний и 16 процентов — для других заемщиков при ключевой ставке 21 процент. Получается, что крупный бизнес исключен из списка потенциальных заемщиков, а малый и средний бизнес не может получить финансирование из-за высоких требований банков, отметили эксперты.Ранее россиянам, для которых ипотека стала неподъемной, посоветовали взять тайм-аут. Это возможно, если купленное жилье является единственным, сумма ипотеки не превышает 15 миллионов рублей, каникулы оформляются впервые, а также есть обстоятельства, дающие основания для отсрочки платежей, указанных в статьях 6.1-1 353-го федерального закона."
